Date,Station Id,Air Temperature Observed (degF),Solar Radiation Average (watt/m2),Wind Speed Average (mph),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2019-01-01 00:00,2125,9,0.04,2.4,18,23,28,36,43
2019-01-01 01:00,2125,9,0.03,2.5,17,22,27,36,43
2019-01-01 02:00,2125,9,0.03,2.0,17,21,27,36,43
2019-01-01 03:00,2125,9,0.04,3.3,16,20,27,36,43
2019-01-01 04:00,2125,8,0.03,5.1,15,19,26,36,43
2019-01-01 05:00,2125,9,0.04,1.6,15,19,26,36,43
2019-01-01 06:00,2125,8,0.03,4.6,14,18,26,36,43
2019-01-01 07:00,2125,8,2.05,5.1,14,18,25,36,43
2019-01-01 08:00,2125,7,90.80,2.9,13,17,25,36,43
2019-01-01 09:00,2125,10,279.60,7.5,14,17,25,36,43
2019-01-01 10:00,2125,13,424.20,5.0,15,17,24,36,43
2019-01-01 11:00,2125,16,520.20,9.6,18,17,24,36,43
2019-01-01 12:00,2125,17,547.30,8.1,20,19,24,36,43
2019-01-01 13:00,2125,19,517.70,7.8,21,21,24,36,43
2019-01-01 14:00,2125,20,427.10,11.6,22,23,24,36,43
2019-01-01 15:00,2125,20,286.50,14.0,22,24,24,36,43
2019-01-01 16:00,2125,18,112.60,14.4,21,25,24,35,43
2019-01-01 17:00,2125,14,3.65,12.2,20,25,24,35,43
2019-01-01 18:00,2125,12,0.01,12.4,19,24,25,35,43
2019-01-01 19:00,2125,11,0.01,9.8,17,23,25,35,43
2019-01-01 20:00,2125,9,0.01,3.6,16,22,25,35,43
2019-01-01 21:00,2125,7,0.02,3.5,15,20,25,35,43
2019-01-01 22:00,2125,4,0.04,2.1,14,19,24,35,43
2019-01-01 23:00,2125,2,0.12,2.4,13,18,24,35,43
