#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Hourly
# Date Range: 2019-01-01 00:00 to 2019-12-31 23:00
#
# Data for the following site(s) are contained in this file:
#
#	SCAN 2125: Circleville, UT
# 
# Data items provided in this file:
#
# Element Name               Value Type  Function Type  Function Duration  Base Data  Measurement Units    Sensor Depth  Element Code  Description                               
# Air Temperature Observed   Value       None           Instantaneous      N/A        Degrees fahrenheit   N/A           TOBS          Instantaneously observed air temperature  
# Solar Radiation Average    Value       None           Hour               N/A        Watts/meter squared  N/A           SRADV         Average solar radiation                   
# Wind Speed Average         Value       None           Hour               N/A        Miles/hour           N/A           WSPDV         Average wind speed                        
# Soil Temperature Observed  Value       None           Instantaneous      N/A        Degrees fahrenheit   -2            STO           Observed soil temperature                 
# Soil Temperature Observed  Value       None           Instantaneous      N/A        Degrees fahrenheit   -4            STO           Observed soil temperature                 
# Soil Temperature Observed  Value       None           Instantaneous      N/A        Degrees fahrenheit   -8            STO           Observed soil temperature                 
# Soil Temperature Observed  Value       None           Instantaneous      N/A        Degrees fahrenheit   -20           STO           Observed soil temperature                 
# Soil Temperature Observed  Value       None           Instantaneous      N/A        Degrees fahrenheit   -40           STO           Observed soil temperature                 
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Circleville (2125) 
# Utah  SCAN Site - 6120 ft
# Reporting Frequency: Hourly; Date Range: 2019-01-01 00:00 to 2019-12-31 23:00
#
# As of: Feb 2, 2021 10:15:03 AM GMT-08:00
#
Date,Station Id,Air Temperature Observed (degF),Solar Radiation Average (watt/m2),Wind Speed Average (mph),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2019-01-01 00:00,2125,9,0.04,2.4,18,23,28,36,43
2019-01-01 01:00,2125,9,0.03,2.5,17,22,27,36,43
2019-01-01 02:00,2125,9,0.03,2.0,17,21,27,36,43
2019-01-01 03:00,2125,9,0.04,3.3,16,20,27,36,43
2019-01-01 04:00,2125,8,0.03,5.1,15,19,26,36,43
2019-01-01 05:00,2125,9,0.04,1.6,15,19,26,36,43
2019-01-01 06:00,2125,8,0.03,4.6,14,18,26,36,43
2019-01-01 07:00,2125,8,2.05,5.1,14,18,25,36,43
2019-01-01 08:00,2125,7,90.80,2.9,13,17,25,36,43
2019-01-01 09:00,2125,10,279.60,7.5,14,17,25,36,43
2019-01-01 10:00,2125,13,424.20,5.0,15,17,24,36,43
2019-01-01 11:00,2125,16,520.20,9.6,18,17,24,36,43
2019-01-01 12:00,2125,17,547.30,8.1,20,19,24,36,43
2019-01-01 13:00,2125,19,517.70,7.8,21,21,24,36,43
2019-01-01 14:00,2125,20,427.10,11.6,22,23,24,36,43
2019-01-01 15:00,2125,20,286.50,14.0,22,24,24,36,43
2019-01-01 16:00,2125,18,112.60,14.4,21,25,24,35,43
2019-01-01 17:00,2125,14,3.65,12.2,20,25,24,35,43
2019-01-01 18:00,2125,12,0.01,12.4,19,24,25,35,43
2019-01-01 19:00,2125,11,0.01,9.8,17,23,25,35,43
2019-01-01 20:00,2125,9,0.01,3.6,16,22,25,35,43
2019-01-01 21:00,2125,7,0.02,3.5,15,20,25,35,43
2019-01-01 22:00,2125,4,0.04,2.1,14,19,24,35,43
2019-01-01 23:00,2125,2,0.12,2.4,13,18,24,35,43
2019-01-02 00:00,2125,-1,0.12,2.0,12,17,24,35,43
2019-01-02 01:00,2125,-1,0.20,2.0,11,16,23,35,43
2019-01-02 02:00,2125,-2,0.21,2.0,10,15,23,35,43
2019-01-02 03:00,2125,-4,0.16,2.2,9,14,22,35,43
2019-01-02 04:00,2125,-3,0.20,1.8,9,14,22,35,43
2019-01-02 05:00,2125,-3,0.21,1.8,8,14,22,35,43
2019-01-02 06:00,2125,-2,0.22,2.9,8,14,21,35,43
2019-01-02 07:00,2125,-5,2.40,2.1,7,14,21,35,43
2019-01-02 08:00,2125,-5,96.80,1.2,6,14,20,35,43
2019-01-02 09:00,2125,4,293.60,0.5,7,14,20,35,43
2019-01-02 10:00,2125,10,425.10,1.1,9,14,19,35,43
2019-01-02 11:00,2125,13,516.70,3.6,12,14,19,35,43
2019-01-02 12:00,2125,14,552.60,2.9,15,14,18,35,43
2019-01-02 13:00,2125,18,523.30,2.3,17,16,18,35,43
2019-01-02 14:00,2125,23,427.50,2.3,19,19,19,35,43
2019-01-02 15:00,2125,24,289.20,6.4,20,20,19,35,43
